trial_id,title,status,phase,sponsor,sponsor_class,intervention_names,intervention_types,countries,regions,last_update_posted,has_results,source_url
NCT04400240,Care Coordination Approaches to Learning Lupus Self-management,COMPLETED,N/A,Medical University of South Carolina,OTHER,CALLS,behavioral,United States,North America,2020-05-22,False,https://clinicaltrials.gov/study/NCT04400240
NCT04402086,Rheumatology Patient Registry and Biorepository,RECRUITING,N/A,Yale University,OTHER,,,United States,North America,2026-02-13,False,https://clinicaltrials.gov/study/NCT04402086
NCT04411407,PROM Collected Via a WebApp Versus a Touch Screen Solution Among Patients With SLE,COMPLETED,N/A,Salome Kristensen,OTHER,PROM registration via the DANBIO WebApp and the outpatient touchscreen in a randomised order,device,Denmark,Europe,2021-04-01,False,https://clinicaltrials.gov/study/NCT04411407
NCT04424602,Comparison between2 Drugs in Lupus Nephritis,COMPLETED,Phase 4,Al-Azhar University,OTHER,cyclo phosphamide; mycophenolate,drug,Egypt,Middle East / Africa,2022-06-21,False,https://clinicaltrials.gov/study/NCT04424602
NCT04431167,Healthy Lifestyle Intervention in Patients with Systemic Lupus Erythematosus: the Living Well with Lupus Study,COMPLETED,N/A,University of Sao Paulo,OTHER,Living well with Lupus,behavioral,Brazil,Latin America,2024-12-11,False,https://clinicaltrials.gov/study/NCT04431167
NCT04433585,A Study of LY3471851 in Adults With Systemic Lupus Erythematosus (SLE),COMPLETED,Phase 2,Nektar Therapeutics,INDUSTRY,LY3471851; Placebo,drug,Argentina; Australia; Canada; Czechia; Germany; Hungary; India; Israel; Japan; Mexico; Poland; Puerto Rico; Romania; Russia; South Korea; Spain; Taiwan; Ukraine; United States,East Asia; Europe; Latin America; Middle East; North America; Oceania; Other / Global; South Asia,2024-04-23,True,https://clinicaltrials.gov/study/NCT04433585
NCT04440566,O-GlcNAcylation Role in the Pathophysiology of Systemic Lupus Erythematosus,COMPLETED,N/A,"University Hospital, Bordeaux",OTHER,blood sample,biological,France,Europe,2024-01-19,False,https://clinicaltrials.gov/study/NCT04440566
NCT04447053,Sequential Belimumab and T-cell Based Therapy in SLE,UNKNOWN,Phase 4,"National University Hospital, Singapore",OTHER,Belimumab Injection [Benlysta],drug,Singapore,Southeast Asia,2023-06-22,False,https://clinicaltrials.gov/study/NCT04447053
NCT04449653,Mobile Study to Measure and Predict Lupus Disease Activity Using Digital Signals,UNKNOWN,N/A,"Progentec Diagnostics, Inc.",INDUSTRY,,,United States,North America,2020-06-29,False,https://clinicaltrials.gov/study/NCT04449653
NCT04449991,Per-protocol Repeat Kidney Biopsy in Incident Cases of Lupus Nephritis,RECRUITING,N/A,Karolinska Institutet,OTHER,Repeat kidney biopsy,procedure,Sweden,Europe,2025-09-02,False,https://clinicaltrials.gov/study/NCT04449991
NCT04451772,A Study of the Safety of Oral Elsubrutinib Capsules and Oral Upadacitinib Tablets Given Alone or in Combination (ABBV-599) for Adult Participants With Moderately to Severely Active Systemic Lupus Erythematosus to Assess Change in Disease State,COMPLETED,Phase 2,AbbVie,INDUSTRY,Elsubrutinib; Placebo for Elsubrutinib; Placebo for Upadacitinib; Upadacitinib,drug,Argentina; Australia; Bulgaria; China; Colombia; Germany; Hungary; Italy; Japan; Mexico; New Zealand; Poland; Puerto Rico; South Korea; Spain; Taiwan; United Kingdom; United States,East Asia; Europe; Latin America; North America; Oceania; Other / Global,2025-01-14,True,https://clinicaltrials.gov/study/NCT04451772
NCT04453215,Laser Therapy for Patients With Systemic Lupus Erythematosus,COMPLETED,N/A,Dr. Merve Benli,OTHER,GaAlAs semiconductor diode laser device,device,Turkey (Türkiye),Other / Global,2021-11-10,False,https://clinicaltrials.gov/study/NCT04453215
NCT04461158,CCCR Lupus Patient Navigator Program,COMPLETED,N/A,Medical University of South Carolina,OTHER,Patient Navigator Services,behavioral,United States,North America,2026-03-09,True,https://clinicaltrials.gov/study/NCT04461158
NCT04481633,Efficacy of Pre-exposure Treatment With Hydroxy-Chloroquine on the Risk and Severity of COVID-19 Infection,COMPLETED,N/A,"University Hospital, Toulouse",OTHER,COVID 19 Self-Questionnaire; COVID 19 serology,diagnostic_test; other,France,Europe,2026-01-06,False,https://clinicaltrials.gov/study/NCT04481633
NCT04486118,Centrally Acting ACE Inhibition in SLE,ACTIVE_NOT_RECRUITING,Phase 2,Northwell Health,OTHER,Benazepril Pill; Lisinopril Pills,drug,United States,North America,2025-09-19,False,https://clinicaltrials.gov/study/NCT04486118
NCT04515719,Efficacy and Safety of Belimumab in SLE Patients,COMPLETED,Phase 4,RenJi Hospital,OTHER,Belimumab; Placebo,biological,China,East Asia,2025-05-14,False,https://clinicaltrials.gov/study/NCT04515719
NCT04516408,Recombinant Zoster Vaccine in Stable SLE Patients,UNKNOWN,N/A,RenJi Hospital,OTHER,Placebo; Recombinant zoster vaccine,biological,China,East Asia,2022-10-26,False,https://clinicaltrials.gov/study/NCT04516408
NCT04517240,A Study on Protein Losing Enteropathy In Systemic Lupus Erythematosus,UNKNOWN,N/A,Assiut University,OTHER,endoscopy,other,,,2020-08-18,False,https://clinicaltrials.gov/study/NCT04517240
NCT04522505,Long-term Follow-up for Evaluating the Safety of CS20AT04 in Subject with Lupus Nephritis,COMPLETED,N/A,"Corestemchemon, Inc.",INDUSTRY,,,South Korea,Other / Global,2025-01-10,False,https://clinicaltrials.gov/study/NCT04522505
NCT04527172,Neuromuscular Ultrasonography Utility for Detection of Peripheral Neuropathy in Systemic Lupus Erythematosus,COMPLETED,N/A,Assiut University,OTHER,neuromuscular ultrasound,diagnostic_test,Egypt,Middle East / Africa,2020-08-28,False,https://clinicaltrials.gov/study/NCT04527172
NCT04530461,Serologic Profile of SARS CoV2 in COVID-19 Patients With Systemic Diseases,UNKNOWN,N/A,faida agili,OTHER,Serological test,diagnostic_test,Tunisia,Other / Global,2020-09-22,False,https://clinicaltrials.gov/study/NCT04530461
NCT04532541,Monogenic Lupus in Childhood Onset Systemic Lupus Erythematosus,UNKNOWN,N/A,Children's Hospital of Fudan University,OTHER,Monogenic lupus screening,other,China,East Asia,2024-03-08,False,https://clinicaltrials.gov/study/NCT04532541
NCT04534647,Serological and Urinary Biomarkers in Latin American Patients With Systemic Lupus Erythematosus: GLADEL 2.0 Cohort,UNKNOWN,N/A,Liga Panamericana de Asociaciones de Reumatologia (PANLAR),OTHER,different serum and urine biomarkers,diagnostic_test,Argentina,Latin America,2021-04-26,False,https://clinicaltrials.gov/study/NCT04534647
NCT04558814,Evaluation of Serum Galectin-9 Level in Systemic Lupus Erythematosus Patients and it's Association With Disease Activity and Organ Damage,UNKNOWN,N/A,Assiut University,OTHER,Serum galectin-9 level,diagnostic_test,,,2020-09-25,False,https://clinicaltrials.gov/study/NCT04558814
NCT04564339,Study of Ravulizumab in Proliferative Lupus Nephritis (LN) or Immunoglobulin A Nephropathy (IgAN),TERMINATED,Phase 2,"Alexion Pharmaceuticals, Inc.",INDUSTRY,Background Therapy; Placebo; Ravulizumab,drug; other,Australia; Canada; France; Germany; Italy; Netherlands; Poland; South Korea; Spain; Taiwan; United Kingdom; United States,East Asia; Europe; North America; Oceania; Other / Global,2026-01-22,True,https://clinicaltrials.gov/study/NCT04564339
NCT04570306,Transcriptional and Immune Parameters of Response to Belimumab,COMPLETED,N/A,"Biomedical Research Foundation, Academy of Athens",OTHER,Belimumab,drug,Greece,Europe,2024-06-11,False,https://clinicaltrials.gov/study/NCT04570306
NCT04580108,Highly Sensitive Serum Cardiac Troponin T and Cardiovascular Events in Patients With Systemic Lupus Erythematosus,COMPLETED,N/A,Assistance Publique - Hôpitaux de Paris,OTHER,,,France,Europe,2020-10-08,False,https://clinicaltrials.gov/study/NCT04580108
NCT04582136,Efficacy and Safety of Sirolimus in Active Systemic Lupus Erythematosus,ACTIVE_NOT_RECRUITING,Phase 3,Chinese SLE Treatment And Research Group,OTHER,Placebo; Sirolimus,drug,China,East Asia,2025-09-26,False,https://clinicaltrials.gov/study/NCT04582136
NCT04604990,"National Systemic Lupus Erythematosus Prospective Cohort, Saudi Arabia",RECRUITING,N/A,King Saud University,OTHER,,,Saudi Arabia,Middle East,2021-09-01,False,https://clinicaltrials.gov/study/NCT04604990
NCT04643067,Phase 1b/2a Study to Evaluate Safety and Efficacy of KPG-818 in SLE,COMPLETED,"Phase 1, Phase 2","Kangpu Biopharmaceuticals, Ltd.",INDUSTRY,KPG-818 high dose; KPG-818 low dose; KPG-818 mid dose; Placebo,drug,United States,North America,2024-05-23,False,https://clinicaltrials.gov/study/NCT04643067
NCT04643470,Zanubrutinib in Participants With Active Proliferative Lupus Nephritis,COMPLETED,Phase 2,BeiGene,INDUSTRY,Placebo; Zanubrutinib,drug,China,East Asia,2024-11-29,False,https://clinicaltrials.gov/study/NCT04643470
NCT04645225,Clinical Characteristic and MEFV Gene Mutations in Patient With Juvenile Onest Systemic Lupus Erythematosus,UNKNOWN,N/A,Assiut University,OTHER,. MEFV genetic testing,device,,,2020-11-27,False,https://clinicaltrials.gov/study/NCT04645225
NCT04645589,Evaluating the Safety of Myfortic (Mycophenolate Sodium) in Patients With Lupus Nephritis,COMPLETED,N/A,Novartis Pharmaceuticals,INDUSTRY,Myfortic,drug,Taiwan,East Asia,2025-12-09,False,https://clinicaltrials.gov/study/NCT04645589
NCT04647708,Study of M5049 in CLE and SLE Participants,COMPLETED,Phase 1,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",INDUSTRY,M5049; Placebo,drug,Bulgaria; Germany; Moldova; North Macedonia; Spain; Ukraine,Europe; Other / Global,2024-02-21,False,https://clinicaltrials.gov/study/NCT04647708
NCT04648059,Epigenetics in Lupus Nephritis,UNKNOWN,N/A,University of Göttingen,OTHER,Blood sampling,diagnostic_test,Germany,Europe,2022-03-14,False,https://clinicaltrials.gov/study/NCT04648059
NCT04671706,Belimumab in Patients With Systemic Lupus Erythematosus,NOT_YET_RECRUITING,N/A,Grupo de Trabajo de Enfermedades Autoinmunes Sistémicas (GEAS) de la Fundación Española de Medicina,OTHER,,,Spain,Europe,2020-12-17,False,https://clinicaltrials.gov/study/NCT04671706
NCT04680637,Efficacy and Safety of Efavaleukin Alfa in Subjects With Active Systemic Lupus Erythematosus,TERMINATED,Phase 2,Amgen,INDUSTRY,Efavaleukin Alfa; Placebo; Standard of Care,drug; other,Austria; Bulgaria; Canada; Chile; Colombia; France; Greece; Hong Kong; Italy; Japan; Mexico; Poland; Russia; South Korea; Spain; Switzerland; Taiwan; Turkey (Türkiye); United States,East Asia; Europe; Latin America; North America; Other / Global,2024-06-28,True,https://clinicaltrials.gov/study/NCT04680637
NCT04700267,A Study Evaluating the Effects of GLPG3970 Given as Oral Treatment for 12 Weeks in Adults With Systemic Lupus Erythematosus,TERMINATED,Phase 1,Galapagos NV,INDUSTRY,GLPG3970 film-coated tablet; Placebo film-coated tablet,drug,Bulgaria; Moldova; Poland; Spain; Ukraine,Europe; Other / Global,2021-10-21,False,https://clinicaltrials.gov/study/NCT04700267
NCT04702256,Induction Therapy for Lupus Nephritis With no Added Oral Steroids: A Trial Comparing Oral Corticosteroids Plus Mycophenolate Mofetil (MMF) Versus Obinutuzumab and MMF,RECRUITING,Phase 3,Assistance Publique - Hôpitaux de Paris,OTHER,"Administration of Methylprednisolone + Prednisone + Mycophenolate mofetil; Administration of methylprednisolone, paracetamol and dexchlorpheniramine; Obinutuzumab administration",drug,France,Europe,2025-11-24,False,https://clinicaltrials.gov/study/NCT04702256
NCT04717583,Efficacy of Intense Pulsed Light in the Treatment of Facial Telangiectasia in Systemic Lupus Erythematosus,UNKNOWN,N/A,Second Xiangya Hospital of Central South University,OTHER,Intense pulsed light (IPL) treatment,procedure,China,East Asia,2021-05-18,False,https://clinicaltrials.gov/study/NCT04717583
NCT04726553,Nature of Anifrolumab Impact on Vaccine-Emergent Immunity in SLE,UNKNOWN,Early Phase 1,Oklahoma Medical Research Foundation,OTHER,Anifrolumab; Standard of Care,drug,United States,North America,2023-03-22,False,https://clinicaltrials.gov/study/NCT04726553
